printouts,fulltext,fullurl,namespace,exists,displaytitle
[],Gunnera tinctoria,//floranorthamerica.org/Gunnera_tinctoria,0,1,Gunnera tinctoria
[],Haloragis erecta,//floranorthamerica.org/Haloragis_erecta,0,1,Haloragis erecta
[],Hebecarpa barbeyana,//floranorthamerica.org/Hebecarpa_barbeyana,0,1,Hebecarpa barbeyana
[],Hebecarpa macradenia,//floranorthamerica.org/Hebecarpa_macradenia,0,1,Hebecarpa macradenia
[],Hebecarpa obscura,//floranorthamerica.org/Hebecarpa_obscura,0,1,Hebecarpa obscura
[],Hebecarpa ovatifolia,//floranorthamerica.org/Hebecarpa_ovatifolia,0,1,Hebecarpa ovatifolia
[],Hebecarpa palmeri,//floranorthamerica.org/Hebecarpa_palmeri,0,1,Hebecarpa palmeri
[],Hebecarpa punctata,//floranorthamerica.org/Hebecarpa_punctata,0,1,Hebecarpa punctata
[],Hebecarpa rectipilis,//floranorthamerica.org/Hebecarpa_rectipilis,0,1,Hebecarpa rectipilis
[],Heimia salicifolia,//floranorthamerica.org/Heimia_salicifolia,0,1,Heimia salicifolia
[],Hippophaë rhamnoides,//floranorthamerica.org/Hippopha%C3%AB_rhamnoides,0,1,Hippophaë rhamnoides
[],Lagerstroemia indica,//floranorthamerica.org/Lagerstroemia_indica,0,1,Lagerstroemia indica
[],Laguncularia racemosa,//floranorthamerica.org/Laguncularia_racemosa,0,1,Laguncularia racemosa
[],Leptospermum laevigatum,//floranorthamerica.org/Leptospermum_laevigatum,0,1,Leptospermum laevigatum
[],Ludwigia alata,//floranorthamerica.org/Ludwigia_alata,0,1,Ludwigia alata
[],Ludwigia alternifolia,//floranorthamerica.org/Ludwigia_alternifolia,0,1,Ludwigia alternifolia
[],Ludwigia arcuata,//floranorthamerica.org/Ludwigia_arcuata,0,1,Ludwigia arcuata
[],Ludwigia bonariensis,//floranorthamerica.org/Ludwigia_bonariensis,0,1,Ludwigia bonariensis
[],Ludwigia brevipes,//floranorthamerica.org/Ludwigia_brevipes,0,1,Ludwigia brevipes
[],Ludwigia curtissii,//floranorthamerica.org/Ludwigia_curtissii,0,1,Ludwigia curtissii
[],Ludwigia decurrens,//floranorthamerica.org/Ludwigia_decurrens,0,1,Ludwigia decurrens
[],Ludwigia erecta,//floranorthamerica.org/Ludwigia_erecta,0,1,Ludwigia erecta
[],Ludwigia glandulosa,//floranorthamerica.org/Ludwigia_glandulosa,0,1,Ludwigia glandulosa
[],Ludwigia grandiflora,//floranorthamerica.org/Ludwigia_grandiflora,0,1,Ludwigia grandiflora
[],Ludwigia hexapetala,//floranorthamerica.org/Ludwigia_hexapetala,0,1,Ludwigia hexapetala
[],Ludwigia hirtella,//floranorthamerica.org/Ludwigia_hirtella,0,1,Ludwigia hirtella
[],Ludwigia lanceolata,//floranorthamerica.org/Ludwigia_lanceolata,0,1,Ludwigia lanceolata
[],Ludwigia leptocarpa,//floranorthamerica.org/Ludwigia_leptocarpa,0,1,Ludwigia leptocarpa
[],Ludwigia linearis,//floranorthamerica.org/Ludwigia_linearis,0,1,Ludwigia linearis
[],Ludwigia linifolia,//floranorthamerica.org/Ludwigia_linifolia,0,1,Ludwigia linifolia
[],Ludwigia maritima,//floranorthamerica.org/Ludwigia_maritima,0,1,Ludwigia maritima
[],Ludwigia microcarpa,//floranorthamerica.org/Ludwigia_microcarpa,0,1,Ludwigia microcarpa
[],Ludwigia octovalvis,//floranorthamerica.org/Ludwigia_octovalvis,0,1,Ludwigia octovalvis
[],Ludwigia palustris,//floranorthamerica.org/Ludwigia_palustris,0,1,Ludwigia palustris
[],Ludwigia peploides,//floranorthamerica.org/Ludwigia_peploides,0,1,Ludwigia peploides
[],Ludwigia peruviana,//floranorthamerica.org/Ludwigia_peruviana,0,1,Ludwigia peruviana
[],Ludwigia pilosa,//floranorthamerica.org/Ludwigia_pilosa,0,1,Ludwigia pilosa
[],Ludwigia polycarpa,//floranorthamerica.org/Ludwigia_polycarpa,0,1,Ludwigia polycarpa
[],Ludwigia ravenii,//floranorthamerica.org/Ludwigia_ravenii,0,1,Ludwigia ravenii
[],Ludwigia repens,//floranorthamerica.org/Ludwigia_repens,0,1,Ludwigia repens
[],Ludwigia simpsonii,//floranorthamerica.org/Ludwigia_simpsonii,0,1,Ludwigia simpsonii
[],Ludwigia spathulata,//floranorthamerica.org/Ludwigia_spathulata,0,1,Ludwigia spathulata
[],Ludwigia sphaerocarpa,//floranorthamerica.org/Ludwigia_sphaerocarpa,0,1,Ludwigia sphaerocarpa
[],Ludwigia suffruticosa,//floranorthamerica.org/Ludwigia_suffruticosa,0,1,Ludwigia suffruticosa
[],Ludwigia virgata,//floranorthamerica.org/Ludwigia_virgata,0,1,Ludwigia virgata
[],Luma apiculata,//floranorthamerica.org/Luma_apiculata,0,1,Luma apiculata
[],Lumnitzera racemosa,//floranorthamerica.org/Lumnitzera_racemosa,0,1,Lumnitzera racemosa
[],Lythrum alatum,//floranorthamerica.org/Lythrum_alatum,0,1,Lythrum alatum
[],Lythrum californicum,//floranorthamerica.org/Lythrum_californicum,0,1,Lythrum californicum
[],Lythrum curtissii,//floranorthamerica.org/Lythrum_curtissii,0,1,Lythrum curtissii
[],Lythrum flagellare,//floranorthamerica.org/Lythrum_flagellare,0,1,Lythrum flagellare
[],Lythrum hyssopifolia,//floranorthamerica.org/Lythrum_hyssopifolia,0,1,Lythrum hyssopifolia
[],Lythrum junceum,//floranorthamerica.org/Lythrum_junceum,0,1,Lythrum junceum
[],Lythrum lineare,//floranorthamerica.org/Lythrum_lineare,0,1,Lythrum lineare
[],Lythrum ovalifolium,//floranorthamerica.org/Lythrum_ovalifolium,0,1,Lythrum ovalifolium
[],Lythrum portula,//floranorthamerica.org/Lythrum_portula,0,1,Lythrum portula
[],Lythrum salicaria,//floranorthamerica.org/Lythrum_salicaria,0,1,Lythrum salicaria
[],Lythrum tribracteatum,//floranorthamerica.org/Lythrum_tribracteatum,0,1,Lythrum tribracteatum
[],Lythrum virgatum,//floranorthamerica.org/Lythrum_virgatum,0,1,Lythrum virgatum
[],Melaleuca citrina,//floranorthamerica.org/Melaleuca_citrina,0,1,Melaleuca citrina
[],Melaleuca linariifolia,//floranorthamerica.org/Melaleuca_linariifolia,0,1,Melaleuca linariifolia
[],Melaleuca quinquenervia,//floranorthamerica.org/Melaleuca_quinquenervia,0,1,Melaleuca quinquenervia
[],Melaleuca viminalis,//floranorthamerica.org/Melaleuca_viminalis,0,1,Melaleuca viminalis
[],Melastoma malabathricum,//floranorthamerica.org/Melastoma_malabathricum,0,1,Melastoma malabathricum
[],Monnina wrightii,//floranorthamerica.org/Monnina_wrightii,0,1,Monnina wrightii
[],Mosiera longipes,//floranorthamerica.org/Mosiera_longipes,0,1,Mosiera longipes
[],Myrcianthes fragrans,//floranorthamerica.org/Myrcianthes_fragrans,0,1,Myrcianthes fragrans
[],Myriophyllum alterniflorum,//floranorthamerica.org/Myriophyllum_alterniflorum,0,1,Myriophyllum alterniflorum
[],Myriophyllum aquaticum,//floranorthamerica.org/Myriophyllum_aquaticum,0,1,Myriophyllum aquaticum
[],Myriophyllum farwellii,//floranorthamerica.org/Myriophyllum_farwellii,0,1,Myriophyllum farwellii
[],Myriophyllum heterophyllum,//floranorthamerica.org/Myriophyllum_heterophyllum,0,1,Myriophyllum heterophyllum
[],Myriophyllum hippuroides,//floranorthamerica.org/Myriophyllum_hippuroides,0,1,Myriophyllum hippuroides
[],Myriophyllum humile,//floranorthamerica.org/Myriophyllum_humile,0,1,Myriophyllum humile
[],Myriophyllum laxum,//floranorthamerica.org/Myriophyllum_laxum,0,1,Myriophyllum laxum
[],Myriophyllum pinnatum,//floranorthamerica.org/Myriophyllum_pinnatum,0,1,Myriophyllum pinnatum
[],Myriophyllum quitense,//floranorthamerica.org/Myriophyllum_quitense,0,1,Myriophyllum quitense
[],Myriophyllum sibiricum,//floranorthamerica.org/Myriophyllum_sibiricum,0,1,Myriophyllum sibiricum
[],Myriophyllum spicatum,//floranorthamerica.org/Myriophyllum_spicatum,0,1,Myriophyllum spicatum
[],Myriophyllum tenellum,//floranorthamerica.org/Myriophyllum_tenellum,0,1,Myriophyllum tenellum
